Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DTM,Ex,1629399715.096636,0.35,0.015525766683528208,0,0.0,0.0007584058895444118,1.0,21,0,21,1629399715.096636,1629393715.096365,0.0034999998418688847,0.35,0.1848634148134669,300.00001406669617,0,0,0,0.038787814251943754,1,100.0,Communication rate is low fromDTM
DER,Ex,1629400015.096639,0.41,0.01668492941152018,0,0.0,0.0007765521047061261,1.0,22,0,22,1629400015.096639,1629393715.096317,0.0034920633136550404,0.41,0.25257947828334665,300.00001287460327,0,0,0,0.0469389768883968,1,100.0,Communication rate is low fromDER
DCM,Ex,1629400015.096643,0.35,0.016684929514948103,0,0.0,0.0007765521060579743,1.0,22,0,22,1629400015.096643,1629393715.096357,0.0034920633336103556,0.35,0.20316411388760847,300.00001406669617,0,0,0,0.041926564515701,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629400015.096646,0.43,0.016684929517600103,0,0.0,0.0007765521087616709,1.0,22,0,22,1629400015.096646,1629393715.096362,0.0034920633346675906,0.43,0.20535751900034882,300.00001311302185,0,0,0,0.03517623124051768,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629400015.096649,0.23,0.01668492956997706,0,0.0,0.0007765521093788191,1.0,22,0,22,1629400015.096649,1629393715.096365,0.0034920633346675906,0.23,0.18537056745601221,300.00001287460327,0,0,0,0.044592747176162566,1,100.0,Communication rate is low fromDTM
DER,Ex,1629400315.096652,0.34,0.0178606984082409,0,0.0,0.0007938056979571982,1.0,23,0,23,1629400315.096652,1629393715.096317,0.0034848483079775944,0.34,0.2535508174135317,300.00001311302185,0,0,0,0.05014897357770556,1,100.0,Communication rate is low fromDER
DCM,Ex,1629400315.096655,0.27,0.017860698439333408,0,0.0,0.0007938057055848698,1.0,23,0,23,1629400315.096655,1629393715.096357,0.003484848327615927,0.27,0.2038985741745578,300.00001192092896,0,0,0,0.045442623765727566,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629400315.096659,0.35,0.017860698501518432,0,0.0,0.0007938057031761314,1.0,23,0,23,1629400315.096659,1629393715.096362,0.0034848483281194743,0.35,0.20692971988077985,300.00001287460327,0,0,0,0.04144436911220646,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629400315.096662,0.34,0.017860698515712838,0,0.0,0.000793805702516596,1.0,23,0,23,1629400315.096662,1629393715.096365,0.0034848483279935876,0.34,0.1870332495263777,300.00001311302185,0,0,0,0.03822974633731507,1,100.0,Communication rate is low fromDTM
DER,Ex,1629400615.096665,0.43,0.019051336750972758,0,0.0,0.0008102095337612881,1.0,24,0,24,1629400615.096665,1629393715.096317,0.0034782606942141453,0.43,0.2554279363772175,300.00001287460327,0,0,0,0.043939693259171325,1,100.0,Communication rate is low fromDER
DCM,Ex,1629400615.096669,0.18,0.019051336934036874,0,0.0,0.0008102095347691262,1.0,24,0,24,1629400615.096669,1629393715.096357,0.003478260712362199,0.18,0.20364701023587825,300.00001406669617,0,0,0,0.047034251167033615,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629400615.096672,0.22,0.019051336876227155,0,0.0,0.000810209537568677,1.0,24,0,24,1629400615.096672,1629393715.096362,0.0034782607133236857,0.22,0.2070658686320217,300.00001311302185,0,0,0,0.04636132769155926,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629400615.096675,0.44,0.019051336860398303,0,0.0,0.0008102095382125738,1.0,24,0,24,1629400615.096675,1629393715.096365,0.0034782607133236857,0.44,0.1896411541704357,300.00001287460327,0,0,0,0.02856567432434605,1,100.0,Communication rate is low fromDTM
DER,Ex,1629400915.096678,0.26,0.020255238344032204,0,0.0,0.0008258045557666976,1.0,25,0,25,1629400915.096678,1629393715.096317,0.003472222048145394,0.26,0.25547459008765405,300.00001311302185,0,0,0,0.05120062152749072,1,100.0,Communication rate is low fromDER
DCM,Ex,1629400915.096682,0.32,0.020255238369228157,0,0.0,0.0008258045598958584,1.0,25,0,25,1629400915.096682,1629393715.096357,0.003472222065507085,0.32,0.20482229296076837,300.00001311302185,0,0,0,0.04135329814799336,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629400915.096685,0.38,0.020255238439216925,0,0.0,0.0008258045607982577,1.0,25,0,25,1629400915.096685,1629393715.096362,0.0034722220665418875,0.38,0.20879520994570147,300.00001287460327,0,0,0,0.03801650891068589,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629400915.096688,0.31,0.020255238455314344,0,0.0,0.000825804560114622,1.0,25,0,25,1629400915.096688,1629393715.096365,0.0034722220664269096,0.31,0.19083282591132245,300.00001311302185,0,0,0,0.03918183044526602,1,100.0,Communication rate is low fromDTM
